Obj-1::Programming;Obj-1::Programming
Obj-2::Programming;Obj-2::Programming
Obj-3::Programming;Obj-3::Programming
Obj-4::Programming;Obj-4::Programming
Obj-5::Programming;Obj-5::Programming
Obj-1::Psychodrama;Obj-1::Psychodrama
Obj-2::Psychodrama;Obj-2::Psychodrama
Obj-3::Psychodrama;Obj-3::Psychodrama
Obj-4::Psychodrama;Obj-4::Psychodrama
Obj-5::Psychodrama;Obj-5::Psychodrama
Obj-1::Soccer;Obj-1::Soccer
Obj-2::Soccer;Obj-2::Soccer
Obj-3::Soccer;Obj-3::Soccer
Obj-4::Soccer;Obj-4::Soccer
Obj-5::Soccer;Obj-5::Soccer
Obj-1::Gold;Obj-1::Gold
Obj-2::Gold;Obj-2::Gold
Obj-3::Gold;Obj-3::Gold
Obj-4::Gold;Obj-4::Gold
Obj-5::Gold;Obj-5::Gold
Obj-1::Bakeries;Obj-1::Bakeries
Obj-2::Bakeries;Obj-2::Bakeries
Obj-3::Bakeries;Obj-3::Bakeries
Obj-4::Bakeries;Obj-4::Bakeries
Obj-5::Bakeries;Obj-5::Bakeries
Obj-1::Caves;Obj-1::Caves
Obj-2::Caves;Obj-2::Caves
Obj-3::Caves;Obj-3::Caves
Obj-4::Caves;Obj-4::Caves
Obj-5::Caves;Obj-5::Caves
Obj-1::Forensic psychology;Obj-1::Forensic psychology
Obj-2::Forensic psychology;Obj-2::Forensic psychology
Obj-3::Forensic psychology;Obj-3::Forensic psychology
Obj-4::Forensic psychology;Obj-4::Forensic psychology
Obj-5::Forensic psychology;Obj-5::Forensic psychology
Obj-1::Cooking;Obj-1::Cooking
Obj-2::Cooking;Obj-2::Cooking
Obj-3::Cooking;Obj-3::Cooking
Obj-4::Cooking;Obj-4::Cooking
Obj-5::Cooking;Obj-5::Cooking
Obj-1::Mathematical statistical and computing;Obj-1::Mathematical statistical and computing
Obj-2::Mathematical statistical and computing;Obj-2::Mathematical statistical and computing
Obj-3::Mathematical statistical and computing;Obj-3::Mathematical statistical and computing
Obj-4::Mathematical statistical and computing;Obj-4::Mathematical statistical and computing
Obj-5::Mathematical statistical and computing;Obj-5::Mathematical statistical and computing
Obj-1::Emotional intelligence;Obj-1::Emotional intelligence
Obj-2::Emotional intelligence;Obj-2::Emotional intelligence
Obj-3::Emotional intelligence;Obj-3::Emotional intelligence
Obj-4::Emotional intelligence;Obj-4::Emotional intelligence
Obj-5::Emotional intelligence;Obj-5::Emotional intelligence
Obj-1::Cats;Obj-1::Cats
Obj-2::Cats;Obj-2::Cats
Obj-3::Cats;Obj-3::Cats
Obj-4::Cats;Obj-4::Cats
Obj-5::Cats;Obj-5::Cats
Obj-1::Goats;Obj-1::Goats
Obj-2::Goats;Obj-2::Goats
Obj-3::Goats;Obj-3::Goats
Obj-4::Goats;Obj-4::Goats
Obj-5::Goats;Obj-5::Goats
Obj-1::Typewriter;Obj-1::Typewriter
Obj-2::Typewriter;Obj-2::Typewriter
Obj-3::Typewriter;Obj-3::Typewriter
Obj-4::Typewriter;Obj-4::Typewriter
Obj-5::Typewriter;Obj-5::Typewriter
Obj-1::Monkeys;Obj-1::Monkeys
Obj-2::Monkeys;Obj-2::Monkeys
Obj-3::Monkeys;Obj-3::Monkeys
Obj-4::Monkeys;Obj-4::Monkeys
Obj-5::Monkeys;Obj-5::Monkeys
Obj-1::Gymnastics;Obj-1::Gymnastics
Obj-2::Gymnastics;Obj-2::Gymnastics
Obj-3::Gymnastics;Obj-3::Gymnastics
Obj-4::Gymnastics;Obj-4::Gymnastics
Obj-5::Gymnastics;Obj-5::Gymnastics
Obj-1::Chess;Obj-1::Chess
Obj-2::Chess;Obj-2::Chess
Obj-3::Chess;Obj-3::Chess
Obj-4::Chess;Obj-4::Chess
Obj-5::Chess;Obj-5::Chess
Obj-1::Algebra;Obj-1::Algebra
Obj-2::Algebra;Obj-2::Algebra
Obj-3::Algebra;Obj-3::Algebra
Obj-4::Algebra;Obj-4::Algebra
Obj-5::Algebra;Obj-5::Algebra
Obj-1::Hobbies;Obj-1::Hobbies
Obj-2::Hobbies;Obj-2::Hobbies
Obj-3::Hobbies;Obj-3::Hobbies
Obj-4::Hobbies;Obj-4::Hobbies
Obj-5::Hobbies;Obj-5::Hobbies
Obj-1::Developmental disabilities;Obj-1::Developmental disabilities
Obj-2::Developmental disabilities;Obj-2::Developmental disabilities
Obj-3::Developmental disabilities;Obj-3::Developmental disabilities
Obj-4::Developmental disabilities;Obj-4::Developmental disabilities
Obj-5::Developmental disabilities;Obj-5::Developmental disabilities
Obj-1::Botany;Obj-1::Botany
Obj-2::Botany;Obj-2::Botany
Obj-3::Botany;Obj-3::Botany
Obj-4::Botany;Obj-4::Botany
Obj-5::Botany;Obj-5::Botany
Obj-1::Foxes;Obj-1::Foxes
Obj-2::Foxes;Obj-2::Foxes
