id;user_id;vendor_id
1;221;1
2;222;2
3;223;3
4;224;4
5;225;5
6;226;6
7;227;7
8;228;8
9;229;9
10;230;10
11;231;11
12;232;12
13;233;13
14;234;14
15;235;15
16;236;16
17;237;17
18;238;18
19;239;19
20;240;20
21;241;21
22;242;22
23;243;23
24;244;24
25;245;25
26;246;26
27;247;27
28;248;28
29;249;29
30;250;30
31;251;31
32;252;32
33;253;33
34;254;34
35;255;35
36;256;36
37;257;37
38;258;38
39;259;39
40;260;40
41;261;41
42;262;42
43;263;43
44;264;44
45;265;45
46;266;46
47;267;47
48;268;48
49;269;49
50;270;50
51;271;1
52;272;1
53;273;1
54;274;1
55;275;1
56;276;1
57;277;1
58;278;1
59;279;1
60;280;2
61;281;2
62;282;2
63;283;2
64;284;2
65;285;2
66;286;2
67;287;2
68;288;2
69;289;2
70;290;3
71;291;3
72;292;3
73;293;3
74;294;3
75;295;3
76;296;3
77;297;3
78;298;3
79;299;3
80;300;4
81;301;4
82;302;4
83;303;4
84;304;4
85;305;4
86;306;4
87;307;4
88;308;4
89;309;4
90;310;5
91;311;5
92;312;5
93;313;5
94;314;5
95;315;5
96;316;5
97;317;5
98;318;5
99;319;5
100;320;6
101;321;6
102;322;6
103;323;6
104;324;6
105;325;6
106;326;6
107;327;6
108;328;6
109;329;6
110;330;7
111;331;7
112;332;7
113;333;7
114;334;7
115;335;7
116;336;7
117;337;7
118;338;7
119;339;7
120;340;8
121;341;8
122;342;8
123;343;8
124;344;8
125;345;8
126;346;8
127;347;8
128;348;8
129;349;8
130;350;9
131;351;9
132;352;9
133;353;9
134;354;9
135;355;9
136;356;9
137;357;9
138;358;9
139;359;9
140;360;10
141;361;10
142;362;10
143;363;10
144;364;10
145;365;10
146;366;10
147;367;10
148;368;10
149;369;10
150;370;11
151;371;11
152;372;11
153;373;11
154;374;11
155;375;11
156;376;11
157;377;11
158;378;11
159;379;11
160;380;12
161;381;12
162;382;12
163;383;12
164;384;12
165;385;12
166;386;12
167;387;12
168;388;12
169;389;12
170;390;13
171;391;13
172;392;13
173;393;13
174;394;13
175;395;13
176;396;13
