id;name
1;Afar
2;Abkhazian
3;Afrikaans
4;Akan
5;Amharic
6;Aragonese
7;Arabic
8;Assamese
9;Avar
10;Aymara
11;Azerbaijani
12;Bashkir
13;Belarusian
14;Bulgarian
15;Bihari
16;Bislama
17;Bambara
18;Bengali
19;Tibetan
20;Breton
21;Bosnian
22;Catalan
23;Chechen
24;Chamorro
25;Corsican
26;Cree
27;Czech
28;Old
29;Chuvash
30;Welsh
31;Danish
32;German
33;Divehi
34;Dzongkha
35;Ewe
36;Greek
37;English
38;Esperanto
39;Spanish
40;Estonian
41;Basque
42;Persian
43;Peul
44;Finnish
45;Fijian
46;Faroese
47;French
48;West
49;Irish
50;Scottish
51;Galician
52;Guarani
53;Gujarati
54;Manx
55;Hausa
56;Hebrew
57;Hindi
58;Hiri
59;Croatian
60;Haitian
61;Hungarian
62;Armenian
63;Herero
64;Interlingua
65;Indonesian
66;Interlingue
67;Igbo
68;Sichuan
69;Inupiak
70;Ido
71;Icelandic
72;Italian
73;Inuktitut
74;Japanese
75;Javanese
76;Kongo
77;Kikuyu
78;Kuanyama
79;Kazakh
80;Greenlandic
81;Cambodian
82;Kannada
83;Korean
84;Kanuri
85;Kashmiri
86;Kurdish
87;Komi
88;Cornish
89;Kirghiz
90;Latin
91;Luxembourgish
92;Ganda
93;Limburgian
94;Lingala
95;Laotian
96;Lithuanian
97;Latvian
98;Malagasy
99;Marshallese
100;Maori
101;Macedonian
102;Malayalam
103;Mongolian
104;Moldovan
105;Marathi
106;Malay
107;Maltese
108;Burmese
109;Nauruan
110;North
111;Nepali
112;Ndonga
113;Dutch
114;Norwegian
115;Norwegian
116;South
117;Navajo
118;Chichewa
119;Occitan
120;Ojibwa
121;Oromo
122;Oriya
123;Ossetian
124;Punjabi
125;Pali
126;Polish
127;Pashto
128;Portuguese
129;Quechua
130;Raeto
131;Kirundi
132;Romanian
133;Russian
134;Rwandi
135;Sanskrit
136;Sardinian
137;Sindhi
138;Sango
139;Serbo-Croatian
140;Sinhalese
141;Slovak
142;Slovenian
143;Samoan
144;Shona
145;Somalia
146;Albanian
147;Serbian
148;Swati
149;Southern
150;Sundanese
151;Swedish
152;Swahili
153;Tamil
154;Telugu
155;Tajik
156;Thai
157;Tigrinya
158;Turkmen
159;Tagalog
160;Tswana
161;Tonga
162;Turkish
163;Tsonga
164;Tatar
165;Twi
166;Tahitian
167;Uyghur
168;Urdu
169;Venda
170;Vietnamese
171;Volapük
172;Walloon
173;Wolof
174;Xhosa
175;Yiddish
176;Yoruba
177;Zhuang
178;Chinese
179;Zulu
180;Afar
181;Abkhazian
182;Afrikaans
183;Akan
184;Amharic
185;Aragonese
186;Arabic
187;Assamese
188;Avar
189;Aymara
190;Azerbaijani
191;Bashkir
192;Belarusian
193;Bulgarian
194;Bihari
195;Bislama
196;Bambara
197;Bengali
198;Tibetan
199;Breton
200;Bosnian
201;Catalan
202;Chechen
203;Chamorro
204;Corsican
205;Cree
206;Czech
207;Old
208;Chuvash
209;Welsh
210;Danish
211;German
212;Divehi
213;Dzongkha
214;Ewe
215;Greek
216;English
217;Esperanto
218;Spanish
219;Estonian
220;Basque
221;Persian
222;Peul
223;Finnish
224;Fijian
225;Faroese
226;French
227;West
228;Irish
229;Scottish
230;Galician
231;Guarani
232;Gujarati
233;Manx
234;Hausa
235;Hebrew
236;Hindi
237;Hiri
238;Croatian
239;Haitian
240;Hungarian
241;Armenian
242;Herero
243;Interlingua
244;Indonesian
245;Interlingue
246;Igbo
247;Sichuan
248;Inupiak
249;Ido
250;Icelandic
251;Italian
252;Inuktitut
253;Japanese
254;Javanese
255;Kongo
256;Kikuyu
257;Kuanyama
258;Kazakh
259;Greenlandic
260;Cambodian
261;Kannada
262;Korean
263;Kanuri
264;Kashmiri
265;Kurdish
266;Komi
267;Cornish
268;Kirghiz
269;Latin
270;Luxembourgish
271;Ganda
272;Limburgian
273;Lingala
274;Laotian
275;Lithuanian
276;Latvian
277;Malagasy
278;Marshallese
279;Maori
280;Macedonian
281;Malayalam
282;Mongolian
283;Moldovan
284;Marathi
285;Malay
286;Maltese
287;Burmese
288;Nauruan
289;North
290;Nepali
291;Ndonga
292;Dutch
293;Norwegian
294;Norwegian
295;South
296;Navajo
297;Chichewa
298;Occitan
299;Ojibwa
300;Oromo
301;Oriya
302;Ossetian
303;Punjabi
304;Pali
305;Polish
306;Pashto
307;Portuguese
308;Quechua
309;Raeto
310;Kirundi
311;Romanian
312;Russian
313;Rwandi
314;Sanskrit
315;Sardinian
316;Sindhi
317;Sango
318;Serbo-Croatian
319;Sinhalese
320;Slovak
321;Slovenian
322;Samoan
323;Shona
324;Somalia
325;Albanian
326;Serbian
327;Swati
328;Southern
329;Sundanese
330;Swedish
331;Swahili
332;Tamil
333;Telugu
334;Tajik
335;Thai
336;Tigrinya
337;Turkmen
338;Tagalog
339;Tswana
340;Tonga
341;Turkish
342;Tsonga
343;Tatar
344;Twi
345;Tahitian
346;Uyghur
347;Urdu
348;Venda
349;Vietnamese
350;Volapük
351;Walloon
352;Wolof
353;Xhosa
354;Yiddish
355;Yoruba
356;Zhuang
357;Chinese
358;Zulu
